Frequency,Nominal,Min,Max
250,-107.83930913609244,-108.80470682893878,-106.86379058911494
255.82324807018853,-108.21009438914746,-109.19171550837771,-107.21765090229532
261.7821370127249,-108.58665686465999,-109.58451514136452,-107.57723789608734
267.8798263094016,-108.96896308692143,-109.98305493118882,-107.94253425332094
274.11954903579624,-109.35697045553253,-110.38727405420146,-108.3135144717631
280.50461357549085,-109.7506267719265,-110.79710118744093,-108.6901443988229
287.03840537422064,-110.14986976197163,-111.21245403673119,-109.0723807585551
293.7243887348823,-110.5546265963624,-111.63323886727768,-109.46017067229913
300.5661086543532,-110.96481341062244,-112.05935003889897,-109.85345117444571
307.5671927030953,-111.3803348266936,-112.49066954814825,-110.25214872495518
314.7313529485417,-111.80108347817672,-112.92706657964631,-110.65617872037546
322.0623879232834,-112.22693954140502,-113.36839706903179,-111.0654450052422
329.56418463910165,-112.65777027461377,-113.81450327995383,-111.47983938584905
337.2407206479133,-113.09342956752678,-114.26521339757448,-111.89924114848539
345.0960661507211,-113.53375750372732,-114.72034114099196,-112.3235165843077
353.13438615568845,-113.97857993818575,-115.17968539697354,-112.7525185230906
361.35994268648176,-114.42770809230218,-115.6430298772686,-113.18608587813578
369.7770970420517,-114.88093816875318,-116.11014280164571,-113.62404320462424
378.3903121090519,-115.3380509883493,-116.5807766086063,-114.06620027368403
387.20415472812016,-115.79881165095331,-117.05466769549032,-114.51235166438737
396.22329811527817,-116.26296922233121,-117.5315361894098,-114.96227637578967
405.4525243397323,-116.73025644856499,-118.01108575008749,-115.41573746099235
414.89672685938996,-117.20038949936044,-118.49300340529544,-115.8724816850133
424.5609131154359,-117.67306774123892,-118.97695941911196,-116.33223920801322
434.45020718734366,-118.14797354118764,-119.46260719271683,-116.79472329513577
444.5698525097305,-118.62477210088525,-119.94958319685402,-117.25963005386505
454.92521465249564,-119.10311132108029,-120.43750693447122,-117.72663819938866
465.5217841657166,-119.5826216951235,-120.92598093134704,-118.19540884799474
476.3651794908115,-120.06291622999333,-121.41459075178133,-118.66558533798036
487.461149939511,-120.54359039245804,-121.90290503562179,-119.13679307696346
498.81557874221954,-121.02422207723394,-122.3904755520596,-119.60863941381933
510.434486167382,-121.50437159319426,-122.87683726473057,-120.08071353273566
