Frequency,Nominal,Min,Max
250,-22.103003397041533,-23.10956743083905,-21.09724220044605
255.82324807018853,-22.61931548158879,-23.649370881045925,-21.590008670651837
261.7821370127249,-23.147759463018414,-24.201856519887794,-22.094350102547597
267.8798263094016,-23.68862553576287,-24.767327564181404,-22.610543108557565
274.11954903579624,-24.242211205847326,-25.34609485809432,-23.138871252444122
280.50461357549085,-24.808821501702873,-25.938477091930586,-23.67962524854755
287.03840537422064,-25.388769192916598,-26.544801029049445,-24.233103168459365
293.7243887348823,-25.98237501733689,-27.16540174133628,-24.799610655518162
300.5661086543532,-26.589967916980452,-27.800622853673097,-25.37946114754291
307.5671927030953,-27.211885283218972,-28.450816797885324,-25.972976108248194
314.7313529485417,-27.848473211756534,-29.116345076675085,-26.580485267815877
322.0623879232834,-28.50008676794536,-29.79757853808467,-27.20232687313237
329.56418463910165,-29.167090263026534,-30.494897661073768,-27.83884794823618
337.2407206479133,-29.84985754192537,-31.20869285283283,-28.490404565560507
345.0960661507211,-30.54877228327693,-31.93936475850096,-29.157362128598376
353.13438615568845,-31.26422831240818,-32.68732458400378,-29.840095666664237
361.35994268648176,-31.996629928056823,-33.45299443277902,-30.53899014247667
369.7770970420517,-32.746392243668346,-34.236807657214285,-31.254440773342193
378.3903121090519,-33.513941544175616,-35.039209225682626,-31.986853366779975
387.20415472812016,-34.299715659238025,-35.86065610612849,-32.736644671492975
396.22329811527817,-35.104164353993745,-36.701617667229435,-33.504242744662335
405.4525243397323,-35.92774973846398,-37.562576098238075,-34.290087336620665
414.89672685938996,-36.770946696840184,-38.444026848695906,-35.09463029404455
424.5609131154359,-37.63424333798816,-39.34647908930478,-35.91833598290161
434.45020718734366,-38.518141468613685,-40.27045619534567,-36.76168173248915
444.5698525097305,-39.42315709065813,-41.21649625414871,-37.62515830201581
454.92521465249564,-40.34982092462789,-42.185152598242084,-38.50927037130054
465.5217841657166,-41.298678960710056,-43.17699436594586,-39.414537057301985
476.3651794908115,-42.27029303969357,-44.192607091327815,-40.34149245834094
487.461149939511,-43.265241465895826,-45.232593325604675,-41.29068622804668
498.81557874221954,-44.28411965449931,-46.2975732922583,-42.26268418124213
510.434486167382,-45.32754081592571,-47.38818557833961,-43.25806893418813
522.3240327135095,-46.396136680127526,-48.5050878646615,-44.277440581833936
534.4905223755576,-47.490558263953915,-49.64895769783425,-45.32141741497432
546.9404059873876,-48.61147668506123,-50.82049330737983,-46.39063668049503
559.6802846420844,-49.759584026185706,-52.02041447147651,-47.4857553882027
572.7169131919427,-50.93559425398823,-53.24946343523952,-48.607451168086634
586.0572038299799,-52.14024419712017,-54.50840588584057,-49.756423182253506
599.708229754872,-53.37429458865426,-55.7980319892177,-50.93339309621746
613.677228921257,-54.6385311785844,-57.11915749363274,-52.13910611472532
627.9716078773944,-55.933765922730345,-58.472624905908376,-53.374332087855784
642.5989456922152,-57.26083825510124,-59.859304746827775,-54.63986669376411
657.5669979738448,-58.62061645158878,-61.28009689292437,-55.936532705158854
672.8837009817282,-60.01399909378984,-62.73593201273963,-57.26518134740899
688.5571758345409,-61.44191664282352,-64.22777310660102,-58.62669375710105
704.5957328161127,-62.90533313422444,-65.75661716009469,-60.021982550918615
721.0078757816507,-64.4052480063937,-67.32349692270313,-61.45199351591334
737.8023066665955,-65.94269807670008,-68.92948282457496,-62.917707433612165
754.9879301005031,-67.51875968118391,-70.57568504613603,-64.42014205197889
772.5738581283966,-69.13455099596716,-72.26325575727603,-65.96035422105793
790.5694150420937,-70.79123456097125,-73.99339154521181,-67.53944221021506
808.9841423240695,-72.49002002944393,-75.76733605289888,-69.15854822729649
827.8278037064765,-74.23216717018153,-77.58638285311478,-70.81886116281544
847.1103903480051,-76.01898915328019,-79.45187858716598,-72.52161958550369
866.8421261313277,-77.85185615487318,-81.36522640168272,-74.26811501932134
887.0334730839372,-79.73219932172842,-83.32788972229835,-76.05969553638343
907.6951369252519,-81.66151514294236,-85.34139640932129,-77.89776970535408
928.8380727429297,-83.64137028344756,-87.40734334798454,-79.783810940805
950.4734908014013,-85.67340694285541,-89.52740153472831,-81.71936230598028
972.6128624856998,-87.7593488135293,-91.70332173149772,-83.70604182954325
995.2679263837414,-89.9010077240067,-93.93694077252688,-85.74554840639658
1018.45069451028,-92.1002910682915,-96.2301886229001,-87.83966836381659
1042.1734586758366,-94.35921013849737,-98.58509630573295,-89.9902827871928
1066.4487970039797,-96.67988949826446,-101.00380483557025,-92.19937571493232
1091.2895806004128,-99.06457755776513,-103.48857532006735,-94.46904332992257
1116.7089803774056,-101.51565853847143,-106.04598199183297,-96.80150429572565
1142.7204740371853,-104.03566604769115,-108.68033795360712,-99.19911140980193
1169.3378532179931,-106.62729851969021,-111.38975692063997,-101.66436477393115
1196.5752308065935,-109.29343682239936,-114.17729369831808,-104.19992671396318
1224.447048421113,-112.03716437644657,-117.0462258598052,-106.80863871734805
1252.9680840681783,-114.86179018636803,-120.00008058390809,-109.49354069759616
1282.1534599784097,-117.7708752414639,-123.04266564757911,-112.25789293957962
1312.018650624429,-120.76826280393992,-126.17810523482557,-115.10520112745108
1342.5794909256292,-123.85811316102082,-129.41088129722257,-118.0392449059787
1373.8521846440588,-127.04494346923533,-132.74588126109612,-121.0641104727654
1405.85331297587,-130.33367335251603,-136.18845290629,-124.18422773721795
1438.5998433428895,-133.7296769142878,-139.7444672150059,-127.4044126026941
1472.1091383889695,-137.238841761122,-143.4203898655909,-130.72991491596193
1506.3989651858915,-140.8676354717464,-147.22336176272762,-134.16647255986044
1541.4875046537024,-144.62317962001256,-151.1612884580584,-137.72037200596955
1577.39336120048,-148.51333088478498,-155.24293738452798,-141.3985153422988
1614.1355725866356,-152.54676782418773,-159.47804030156436,-145.20849327050766
1651.7336200189866,-156.73308037184958,-163.8773959405333,-149.1586627185653
1690.207438479951,-161.0828567729296,-168.45296415878735,-153.25822638363604
1729.5774272973376,-165.6077591756204,-173.2179374447009,-157.51730949396477
1769.8644609603411,-170.32057399633953,-178.18676774871543,-161.9470260759276
1811.0899001874714,-175.23521598402712,-183.37511570686397,-166.5595226791198
1853.2756032522898,-180.36665514305244,-188.7996749336309,-171.3679814417907
1896.4439375729553,-185.73072309466545,-194.47780643224525,-176.3865561817008
1940.617791571725,-191.3437404966599,-200.4268991264016,-181.6302046675502
1985.8205868106993,-197.22189168062766,-206.66335692042844,-187.11436767401602
