X--Trace 1::[Channel A],Y--Trace 1::[Channel A]
0,3.03906e-005
1e-011,-1.38549e-005
1.63387e-011,-2.3086e-005
2.9016e-011,-4.21408e-005
5.43706e-011,-8.31323e-005
9.9663e-011,-0.000162694
1.90248e-010,-0.000336336
3.71417e-010,-0.000721926
7.33757e-010,-0.0016
1e-009,-0.00231012
1.07247e-009,-0.00238941
1.2174e-009,-0.00252251
1.50728e-009,-0.00270494
2.08702e-009,-0.0028993
3.2465e-009,-0.00298078
5.56548e-009,-0.0028866
1.02034e-008,-0.00266734
1.1e-008,-0.00263515
1.11e-008,-0.00245835
1.13e-008,-0.0020635
1.17e-008,-0.00113479
1.2e-008,-0.000366632
1.208e-008,-0.000287078
1.224e-008,-0.000155607
1.256e-008,0.408634
1.32e-008,3.14925
1.448e-008,3.17812
1.704e-008,3.18094
2.216e-008,3.17658
3.24e-008,3.16898
5.288e-008,3.15264
9.288e-008,2.85856
1.3288e-007,1.86036
1.7288e-007,1.26395
2.1288e-007,0.799184
2.5288e-007,0.558323
2.9288e-007,0.335388
3.3288e-007,0.251707
3.7288e-007,0.135373
4.1288e-007,0.118727
4.5288e-007,0.0494656
4.9288e-007,0.0609744
5.3288e-007,0.0128437
5.7288e-007,0.0357187
6.1288e-007,5.18343e-008
6.5288e-007,0.0244823
6.9288e-007,-2.63437e-007
7.3288e-007,0.0193107
7.7288e-007,-3.8942e-007
8.1288e-007,0.0167807
8.5288e-007,-4.34375e-007
8.9288e-007,0.0154174
9.3288e-007,-4.43709e-007
9.7288e-007,0.0145836
1e-006,-4.31838e-007
1.0001e-006,-0.000174399
1.0003e-006,-0.000568256
1.0007e-006,-0.00151538
1.001e-006,-0.00230955
1.00105e-006,-0.00236896
1.00115e-006,-0.00247111
1.00136e-006,-0.00262178
1.00177e-006,-0.0028151
1.00259e-006,-0.00296175
1.00423e-006,-0.00295149
1.00752e-006,-0.00278799
1.011e-006,-0.00263552
1.0111e-006,-0.00245871
1.0113e-006,-0.00206367
1.0117e-006,-0.00113467
1.012e-006,-0.000366534
1.01208e-006,-0.000286985
1.01224e-006,-0.000155529
1.01256e-006,0.409615
1.0132e-006,3.14926
1.01448e-006,3.17813
1.01704e-006,3.18094
1.02216e-006,3.17658
1.0324e-006,3.16899
1.05288e-006,3.15266
1.09288e-006,2.85967
1.13288e-006,1.8614
1.17288e-006,1.26493
1.21288e-006,0.800012
1.25288e-006,0.559078
1.29288e-006,0.336017
1.33288e-006,0.252293
1.37288e-006,0.135865
1.41288e-006,0.119199
1.45288e-006,0.0498663
1.49288e-006,0.0613702
1.53288e-006,0.0131818
1.57288e-006,0.0360601
1.61288e-006,6.61218e-008
1.65288e-006,0.0247823
1.69288e-006,-2.60716e-007
1.73288e-006,0.0195772
1.77288e-006,-3.78309e-007
1.81288e-006,0.017019
1.85288e-006,-4.24785e-007
1.89288e-006,0.0156312
1.93288e-006,-4.35176e-007
1.97288e-006,0.0147759
2e-006,-4.238e-007
2.0001e-006,-0.000174389
2.0003e-006,-0.000568237
2.0007e-006,-0.00151533
2.001e-006,-0.00230947
2.00105e-006,-0.00236887
2.00115e-006,-0.00247102
2.00136e-006,-0.00262168
2.00177e-006,-0.00281498
2.00259e-006,-0.0029616
2.00423e-006,-0.00295132
2.00752e-006,-0.00278782
2.011e-006,-0.00263538
2.0111e-006,-0.00245857
2.0113e-006,-0.00206354
2.0117e-006,-0.00113457
2.012e-006,-0.000366477
2.01208e-006,-0.000286937
2.01224e-006,-0.000155499
2.01256e-006,0.409754
2.0132e-006,3.14925
2.01448e-006,3.17813
2.01704e-006,3.18094
2.02216e-006,3.17658
2.0324e-006,3.16899
2.05288e-006,3.15265
2.09288e-006,2.85967
2.13288e-006,1.86148
2.17288e-006,1.26505
2.21288e-006,0.800146
2.25288e-006,0.559216
2.29288e-006,0.336147
2.33288e-006,0.252419
2.37288e-006,0.13598
2.41288e-006,0.119309
2.45288e-006,0.0499668
2.49288e-006,0.061466
2.53288e-006,0.0132697
2.57288e-006,0.0361443
2.61288e-006,6.98968e-008
2.65288e-006,0.0248568
2.69288e-006,-2.54767e-007
2.73288e-006,0.0196435
2.77288e-006,-3.75293e-007
2.81288e-006,0.0170781
2.85288e-006,-4.22164e-007
2.89288e-006,0.0156842
2.93288e-006,-4.32831e-007
2.97288e-006,0.0148233
3e-006,-4.21588e-007
3.0001e-006,-0.000174386
3.0003e-006,-0.000568233
3.0007e-006,-0.00151532
3.001e-006,-0.00230945
3.00105e-006,-0.00236968
3.00116e-006,-0.00247313
